,manufacturer,sku,quantity,price
0,BLANCO,137262,10+,459.0
1,BLANCO,137267,10+,306.0
2,BLANCO,137287,1,909.0
3,BLANCO,207360,1,2272.5
4,BLANCO,211799,1,27.0
5,BLANCO,213567,1,162.0
6,BLANCO,213971,1,11785.5
7,BLANCO,511519,2,2466.0
8,BLANCO,585025,1,7663.5
9,BLANCO,214763,1,1228.5
10,BLANCO,511920,10+,603.0
11,BLANCO,214627,1,1129.5
12,BLANCO,137924,10+,18.0
13,BLANCO,503082,1,1210.5
14,BLANCO,137984,7,693.0
15,BLANCO,512594,1,3141.0
16,BLANCO,512593,4,2727.0
17,BLANCO,218344,4,3114.0
18,BLANCO,513441,2,3636.0
19,BLANCO,128434,2,684.0
20,BLANCO,213471,1,144.0
21,BLANCO,207662,2,855.0
22,BLANCO,513395,1,5517.0
23,BLANCO,137024,2,369.0
24,BLANCO,513521,2,13711.5
25,BLANCO,217697,4,877.5
26,BLANCO,217492,1,1341.0
27,BLANCO,214691,2,202.5
28,BLANCO,221110,10+,3465.0
29,BLANCO,221940,1,2893.5
30,BLANCO,221942,1,2925.0
31,BLANCO,215709,1,2767.5
32,BLANCO,221339,1,1665.0
33,BLANCO,222115,4,3258.0
34,BLANCO,218941,10+,1048.5
35,BLANCO,213071,5,468.0
36,BLANCO,515766,1,7101.0
37,BLANCO,515990,1,8694.0
38,BLANCO,221549,1,4401.0
39,BLANCO,221552,1,5125.5
40,BLANCO,515992,1,6534.0
41,BLANCO,222457,2,1107.0
42,BLANCO,515972,1,2277.0
43,BLANCO,214490,1,652.5
44,BLANCO,224044,5,405.0
45,BLANCO,214749,10+,31.5
46,BLANCO,224451,1,5085.0
47,BLANCO,225088,5,612.0
48,BLANCO,220145,2,2475.0
49,BLANCO,518205,1,8316.0
50,BLANCO,222404,2,288.0
51,BLANCO,517467,2,3933.0
52,BLANCO,227689,3,2646.0
53,BLANCO,227692,1,2538.0
54,BLANCO,224033,2,1039.5
55,BLANCO,517470,3,6129.0
56,BLANCO,517720,1,2385.0
57,BLANCO,223077,1,3330.0
58,BLANCO,517742,3,3861.0
59,BLANCO,517722,1,3519.0
60,BLANCO,225089,1,873.0
61,BLANCO,519414,2,3933.0
62,BLANCO,230700,1,5859.0
63,BLANCO,226897,2,765.0
64,BLANCO,230734,1,1935.0
65,BLANCO,519059,1,7938.0
66,BLANCO,119293,1,756.0
67,BLANCO,212596,3,801.0
68,BLANCO,197862,10+,540.0
69,BLANCO,519670,2,7497.0
70,BLANCO,520840,1,8316.0
71,BLANCO,212332,4,477.0
72,BLANCO,520787,1,8928.0
73,BLANCO,231178,3,2061.0
74,BLANCO,520748,2,4464.0
75,BLANCO,521291,1,4959.0
76,BLANCO,521456,1,8316.0
77,BLANCO,521295,1,2664.0
78,BLANCO,212330,1,342.0
79,BLANCO,520735,4,3132.0
80,BLANCO,518793,2,3519.0
81,BLANCO,218269,2,423.0
82,BLANCO,522234,1,16029.0
83,BLANCO,521726,2,3519.0
84,BLANCO,521730,2,8316.0
85,BLANCO,522965,2,15201.0
86,BLANCO,523128,2,9828.0
87,BLANCO,523134,1,10854.0
88,BLANCO,523979,1,15642.0
89,BLANCO,523432,1,11763.0
90,BLANCO,523436,1,11763.0
91,BLANCO,523441,1,11763.0
92,BLANCO,523130,5,10854.0
93,BLANCO,523137,1,10854.0
94,BLANCO,233696,1,3969.0
95,BLANCO,235906,2,3861.0
96,BLANCO,523246,1,5958.0
97,BLANCO,521300,2,531.0
98,BLANCO,234077,1,1260.0
99,BLANCO,235866,1,1629.0
100,BLANCO,525115,1,5715.0
101,BLANCO,524672,1,30663.0
102,BLANCO,523120,2,5067.0
103,BLANCO,523122,6,5256.0
104,BLANCO,523123,4,8586.0
105,BLANCO,234073,1,1426.5
106,BLANCO,525814,1,2313.0
107,BLANCO,525815,1,2313.0
108,BLANCO,525817,1,2313.0
109,BLANCO,525813,2,2313.0
110,BLANCO,521541,5,4050.0
111,BLANCO,525792,6,15957.0
112,BLANCO,525791,3,14328.0
113,BLANCO,525793,2,15957.0
114,BLANCO,526149,1,14139.0
115,BLANCO,526148,2,20187.0
116,BLANCO,526145,2,4464.0
117,BLANCO,526159,1,5184.0
118,BLANCO,525914,1,12213.0
119,BLANCO,525918,1,15309.0
120,BLANCO,526013,1,8964.0
121,BLANCO,238688,4,2268.0
122,BLANCO,526157,5,10854.0
123,BLANCO,238482,1,3330.0
124,BLANCO,521349,1,10584.0
125,BLANCO,526098,7,9306.0
126,BLANCO,523075,1,9306.0
127,BLANCO,523076,2,9306.0
128,BLANCO,526127,1,15804.0
129,BLANCO,526207,1,7902.0
130,BLANCO,521476,1,12519.0
131,BLANCO,239975,1,2799.0
132,BLANCO,526376,2,4122.0
133,BLANCO,221393,8,72.0
134,BLANCO,526208,1,13653.0
135,BLANCO,526209,1,14103.0
136,BLANCO,526700,3,3366.0
137,BLANCO,526585,1,7866.0
138,BLANCO,519644,1,8361.0
139,BLANCO,526692,1,11718.0
140,BLANCO,526657,1,5670.0
141,BLANCO,526616,2,18792.0
142,BLANCO,526688,2,10701.0
143,BLANCO,527355,1,15273.0
144,BLANCO,527353,1,11763.0
145,BLANCO,527170,3,11763.0
146,BLANCO,527329,3,9306.0
147,BLANCO,527146,1,9306.0
148,BLANCO,526942,3,10854.0
149,BLANCO,526943,1,10854.0
150,BLANCO,526954,2,2313.0
