,name,order,quantity,sku
10,"Kernau KGH 644 CO, арт. KGH 644 CO (шт.)", ,1,KGH 644 CO
11,"Kernau KGH 644 OW, арт. KGH 644 OW (шт.)", ,1,KGH 644 OW
14,"Bosch PUG61KAA5E, арт. PUG61KAA5E (шт.)",1,1,PUG61KAA5E
15,"Franke FSM 709 HI LL KIT + фільтр (340.0678.204), арт. 340.0678.204 (шт.)",1,1,340.0678.204
22,"Falmec внешний мотор 1000 м3/ч (KACL.786#41F), арт. KACL.786#41F (шт.)", ,2,KACL.786#41F
23,"Smeg фільтр вугільний (комплект)FLT6, арт. FLT6 (шт.)", ,1,FLT6
25,"Kernau KCH 1591 NP, арт. KCH 1591 NP (шт.)", ,1,KCH 1591 NP
27,"Best POLAR white, арт. BESTPOLARWHITE (шт.)", ,1,BESTPOLARWHITE
32,"Falmec Gruppo Incasso 50cm 800m3, арт. FAL00492 (шт.)",1,1,FAL00492
33,"Franke FBI 525 BK (305.0680.919), арт. 05.0680.919 (шт.)",1,1,05.0680.919
36,"Bosch HBF113BR0Q, арт. HBF113BR0Q (шт.)",1,1,HBF113BR0Q
37,"Franke FMA 86 H BK (116.0606.098), арт. 116.0606.098 (шт.)",1,1,116.0606.098
44,"Bosch SMV2ITX14K, арт. SMV2ITX14K (шт.)",1,1,SMV2ITX14K
48,"Franke TURBO ELITE TE-50 (134.0535.229), арт. 134.0535.229 (шт.)",1,1,134.0535.229
49,"Franke TURBO ELITE TE-75 (134.0535.241), арт. 134.0535.241 (шт.)",1,1,134.0535.241
50,"Franke Пневмокнопка керування подрібнювачем, чорний матовий (112.0674.415), арт. 112.0674.415 (шт.)",1,1,112.0674.415
51,"Teka TR 750 (115890014), арт. 115890014 (шт.)",1,1,115890014
53,"Franke FSL 20 MW BK (131.0632.993), арт. 131.0632.993 (шт.)",15,1,131.0632.993
54,"Teka ML 8220 BIS, чорне скло (112030001


), арт. 112030001 (шт.)",1,1,112030001
59,"Liebherr IXCC 5165, арт. IXCC 5165 (шт.)",1,1,IXCC 5165
61,"Fabiano FWC 455 Inox, арт. FWC 455 Inox (шт.)",1,1,FWC 455 Inox
64,"Liebherr ICBNd 5163, арт. ICBNd5163 (шт.)",1,1,ICBNd5163
65,"Liebherr ICBNSE 5123, арт. ICBNSE5123 (шт.)",1,2,ICBNSE5123
66,"Liebherr ICBSd 5122 Plus, арт. ICBSd5122 Plus (шт.)",1,1,ICBSd5122 Plus
67,"Liebherr ICe 5103, арт. ICe5103 (шт.)", ,1,ICe5103
69,"Liebherr SICNd 5153, арт. SICNd5153 (шт.)",1,1,SICNd5153
70,"Siemens KI86NAD306, арт. KI86NAD306 (шт.)",1,1,KI86NAD306
75,"liebherr SIFNf 5108, арт. SIFNf5108 (шт.)",1,2,SIFNf5108
76,"Liebherr SUIG 1514, арт. SUIG1514 (шт.)", ,1,SUIG1514
78,"Liebherr IRBd 5150, арт. IRBd5150 (шт.)",1,1,IRBd5150
79,"Liebherr IRBdi 5180 Peak, арт. IRBdi5180 (шт.)", ,1,IRBdi5180
80,"Liebherr IRBe 5120, арт. IRBe5120 (шт.)",1,1,IRBe5120
81,"Liebherr UIK 1510, арт. UIK1510 (шт.)", ,1,UIK1510
92,"Bosch WTZ11400, арт. WTZ11400 (шт.)",1,1,WTZ11400
94,"Siemens WZ20400, арт. WZ20400 (шт.)",2,2,WZ20400
99,"Bosch WQG14200UA, арт. WQG14200UA (шт.)",1,1,WQG14200UA
102,"Bosch WAN28263UA, арт. WAN28263UA (шт.)",2,2,WAN28263UA
103,"Bosch WGA25400UA, арт. WGA25400UA (шт.)",1,1,WGA25400UA
109,"Liebherr WKb 1812, арт. WKb 1812 (шт.)", ,1,WKb 1812
111,"Liebherr CBNsdc 5753 Prime, арт. CBNsdc5753 (шт.)", ,1,CBNsdc5753
112,"Liebherr CN 5735, арт. CN5735 (шт.)",1,1,CN5735
